id,Basin,Area,IMP,CRB,DTH,DTL
1,Navaluenga,699,98,0,2,0
2,Matallana,252,92,0,8,0
3,Villarejo de Montalban,136,79,4,17,0
4,Peralejo de las Truchas,409,2,83,8,7
5,Priego Escabas,329,0,74,24,1
6,Santa Maria del Val,118,0,86,9,5
7,Jabalera,85,0,14,85,1
8,Huete,359,0,9,74,17
9,Torote,255,0,0,100,0
10,La Pueblanueva,222,23,0,77,0
11,Priego Trabraque,942,0,27,57,16
12,La Peraleja,261,0,1,73,26
13,Villasequilla de Yepes,1321,0,35,18,48
14,Valverde de los Arroyos,279,62,18,8,12
15,Malpica,412,52,5,43,0
16,Taravillas,184,19,59,4,18
17,Romanones,319,0,57,29,14
18,Ventosa,389,5,50,17,27
19,Bujalaro,1028,3,44,23,29
